NOC,Year,Medal,Season,has_medal,key_iso
AFG,2008,Bronze,Summer,1,AFG|2008|Bronze
AFG,2012,Bronze,Summer,1,AFG|2012|Bronze
AHO,1988,Silver,Summer,1,AHO|1988|Silver
ALG,1984,Bronze,Summer,1,ALG|1984|Bronze
ALG,1992,Bronze,Summer,1,ALG|1992|Bronze
ALG,1992,Gold,Summer,1,ALG|1992|Gold
ALG,1996,Bronze,Summer,1,ALG|1996|Bronze
ALG,1996,Gold,Summer,1,ALG|1996|Gold
ALG,2000,Bronze,Summer,1,ALG|2000|Bronze
ALG,2000,Gold,Summer,1,ALG|2000|Gold
ALG,2000,Silver,Summer,1,ALG|2000|Silver
ALG,2008,Bronze,Summer,1,ALG|2008|Bronze
ALG,2008,Silver,Summer,1,ALG|2008|Silver
ALG,2012,Gold,Summer,1,ALG|2012|Gold
ALG,2016,Silver,Summer,1,ALG|2016|Silver
ANZ,1908,Bronze,Summer,1,ANZ|1908|Bronze
ANZ,1908,Gold,Summer,1,ANZ|1908|Gold
ANZ,1908,Silver,Summer,1,ANZ|1908|Silver
ANZ,1912,Bronze,Summer,1,ANZ|1912|Bronze
ANZ,1912,Gold,Summer,1,ANZ|1912|Gold
ANZ,1912,Silver,Summer,1,ANZ|1912|Silver
ARG,1924,Bronze,Summer,1,ARG|1924|Bronze
ARG,1924,Gold,Summer,1,ARG|1924|Gold
ARG,1924,Silver,Summer,1,ARG|1924|Silver
ARG,1928,Bronze,Summer,1,ARG|1928|Bronze
ARG,1928,Gold,Summer,1,ARG|1928|Gold
ARG,1928,Silver,Summer,1,ARG|1928|Silver
ARG,1932,Gold,Summer,1,ARG|1932|Gold
ARG,1932,Silver,Summer,1,ARG|1932|Silver
ARG,1936,Bronze,Summer,1,ARG|1936|Bronze
ARG,1936,Gold,Summer,1,ARG|1936|Gold
ARG,1936,Silver,Summer,1,ARG|1936|Silver
ARG,1948,Bronze,Summer,1,ARG|1948|Bronze
ARG,1948,Gold,Summer,1,ARG|1948|Gold
ARG,1948,Silver,Summer,1,ARG|1948|Silver
ARG,1952,Bronze,Summer,1,ARG|1952|Bronze
ARG,1952,Gold,Summer,1,ARG|1952|Gold
ARG,1952,Silver,Summer,1,ARG|1952|Silver
ARG,1956,Bronze,Summer,1,ARG|1956|Bronze
ARG,1956,Silver,Summer,1,ARG|1956|Silver
ARG,1960,Bronze,Summer,1,ARG|1960|Bronze
ARG,1960,Silver,Summer,1,ARG|1960|Silver
ARG,1964,Silver,Summer,1,ARG|1964|Silver
ARG,1968,Bronze,Summer,1,ARG|1968|Bronze
ARG,1972,Silver,Summer,1,ARG|1972|Silver
ARG,1988,Bronze,Summer,1,ARG|1988|Bronze
ARG,1988,Silver,Summer,1,ARG|1988|Silver
ARG,1992,Bronze,Summer,1,ARG|1992|Bronze
ARG,1996,Bronze,Summer,1,ARG|1996|Bronze
ARG,1996,Silver,Summer,1,ARG|1996|Silver
ARG,2000,Bronze,Summer,1,ARG|2000|Bronze
ARG,2000,Silver,Summer,1,ARG|2000|Silver
ARG,2004,Bronze,Summer,1,ARG|2004|Bronze
ARG,2004,Gold,Summer,1,ARG|2004|Gold
ARG,2008,Bronze,Summer,1,ARG|2008|Bronze
ARG,2008,Gold,Summer,1,ARG|2008|Gold
ARG,2012,Bronze,Summer,1,ARG|2012|Bronze
ARG,2012,Gold,Summer,1,ARG|2012|Gold
ARG,2012,Silver,Summer,1,ARG|2012|Silver
ARG,2016,Gold,Summer,1,ARG|2016|Gold
ARG,2016,Silver,Summer,1,ARG|2016|Silver
